antecedents,consequents,support,confidence,lift,count,antecedent_count,consequent_count
"chất_liệu_mỏng, sentiment_positive",kw_mỏng,0.02650469353948095,0.9795918367346939,16.976467141880676,96,98,209
kw_mỏng,chất_liệu_mỏng,0.05770292655991165,1.0,16.925233644859812,209,209,214
"kw_mỏng, sentiment_nonpositive",chất_liệu_mỏng,0.0311982330204307,1.0,16.925233644859812,113,113,214
"kw_mỏng, sentiment_positive",chất_liệu_mỏng,0.02650469353948095,1.0,16.925233644859812,96,96,214
chất_liệu_mỏng,kw_mỏng,0.05770292655991165,0.9766355140186916,16.925233644859812,209,214,209
"chất_liệu_mỏng, sentiment_nonpositive",kw_mỏng,0.0311982330204307,0.9741379310344828,16.88195017323874,113,116,209
"giao_hàng_nhanh, sentiment_positive",kw_nhanh,0.05438983986747653,0.8602620087336245,9.191353969419433,197,229,339
kw_nhanh,"giao_hàng_nhanh, sentiment_positive",0.05438983986747653,0.5811209439528023,9.191353969419433,197,339,229
giao_hàng_nhanh,"kw_nhanh, sentiment_positive",0.05438983986747653,0.7635658914728682,9.067657898081078,197,258,305
"kw_nhanh, sentiment_positive",giao_hàng_nhanh,0.05438983986747653,0.6459016393442623,9.067657898081077,197,305,258
giao_hàng_nhanh,kw_nhanh,0.05935946990612921,0.8333333333333334,8.903638151425763,215,258,339
kw_nhanh,giao_hàng_nhanh,0.05935946990612921,0.6342182890855457,8.903638151425762,215,339,258
"chất_lượng_tốt, sentiment_positive",kw_tốt,0.037272225289895086,0.7627118644067796,3.135689413032186,135,177,881
"kw_nhanh, kw_đẹp",sản_phẩm_đẹp,0.026228602981778024,0.9405940594059405,3.1255336542828593,95,101,1090
"kw_nhanh, sản_phẩm_đẹp",kw_đẹp,0.026228602981778024,1.0,2.93042071197411,95,95,1236
"kw_tốt, kw_đẹp",sản_phẩm_đẹp,0.046935394809497516,0.8808290155440415,2.9269382516518516,170,193,1090
"giá_rẻ_hợp_lý, sản_phẩm_đẹp",kw_đẹp,0.02816123688569851,0.9807692307692307,2.8740664675130696,102,104,1236
sản_phẩm_đẹp,kw_đẹp,0.2940364439536168,0.9770642201834863,2.8632092277545205,1065,1090,1236
kw_đẹp,sản_phẩm_đẹp,0.2940364439536168,0.8616504854368932,2.8632092277545205,1065,1236,1090
"sentiment_positive, sản_phẩm_đẹp",kw_đẹp,0.27167310877967976,0.9761904761904762,2.860648790260441,984,1008,1236
